C35	4114	4906
C19	14042	14834
C18	21718	22561
C39	21285	22098
C38	4385	5306
C34	24668	24872
C13	12839	13358
C12	1710	2709
C11	4179	4569
C10	10654	11395
C17	1256	2159
C16	14432	14681
C15	4711	5506
C14	15006	15159
C37	13381	13864
C36	262	1261
C31	12379	12931
C30	21658	22345
C33	18196	18898
C32	2088	2742
C22	981	1776
C23	6560	7076
C20	3912	4806
C21	8104	8845
C26	13612	14035
C27	15003	15732
C24	21608	22121
C25	6714	7590
C28	19006	19786
C29	18262	19120
C08	12235	12634
C09	21430	21874
C00	15875	16733
C01	23930	24668

29371
C02	19965	20628
C03	14814	15636
C04	18769	19171
C05	9358	10021
C06	22391	22910
C07	20898	21429
