C57 	22443 	22698 
C56 	12540 	12804 
C55 	534 	792 
C54 	12504 	12603 
C53 	2931 	3081 
C52 	9504 	9780 
C51 	20433 	20679 
C50 	15087 	15291 
C71 	14151 	14460 
C70 	11487 	11991 
C73 	7626 	8400 
C72 	9066 	9777 
C75 	4989 	5718 
C74 	3717 	3894 
C59 	19971 	20583 
C58 	12132 	12471 
C68 	10614 	11244 
C69 	20184 	20403 
C67 	13398 	13512 
C44 	279 	882 
C45 	19038 	19383 
C46 	15468 	16155 
C47 	15921 	16554 
C40 	24300 	24996 
C41 	17496 	18012 
C42 	14205 	14544 
C43 	25743 	25836 
C66 	23955 	24420 
C62 	4077 	4293 
C64 	468 	603 
C65 	9447 	9975 
C48 	13176 	13470 
C49 	8535 	9384 
C60 	22617 	22926 
C61 	21069 	21594 
C77 	19407 	19545 
C76 	18666 	19344 
C79 	25005 	25926 
C63 	10605 	10812 
C78 	22698 	23199 

